f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,label
3,14,49,46,43,43,32,25,34,32,176,146,79,56,20,12,4,2,0,1,141,108,47,37,25,24,16,13,10,10,0
0,0,0,2,8,12,17,23,25,31,171,131,99,49,22,15,5,4,2,0,133,73,74,39,26,29,17,20,12,9,0
3,25,51,42,43,42,27,26,28,28,180,123,94,50,16,18,6,6,3,1,135,106,61,38,32,14,12,14,10,12,0
0,0,1,6,6,12,13,10,16,17,194,132,84,46,26,12,2,1,0,0,124,116,56,47,27,17,12,15,9,8,0
1,18,41,52,54,34,33,29,32,22,219,121,75,42,22,10,3,4,1,0,157,95,45,43,28,10,24,15,11,6,0
0,0,1,3,9,14,16,19,18,28,186,146,72,44,25,13,5,7,0,0,113,117,62,41,22,23,17,11,7,5,0
1,21,46,49,52,40,28,24,25,27,195,131,89,41,18,11,9,2,1,0,137,94,51,39,27,27,21,10,4,7,0
0,0,3,2,3,12,9,12,27,25,186,129,99,42,22,11,2,2,2,1,122,107,64,44,27,17,19,15,9,10,0
1,12,46,50,50,34,44,38,29,21,182,128,101,50,18,10,5,2,1,1,141,95,56,39,30,21,16,13,5,6,0
0,0,0,0,9,15,20,20,22,23,182,138,89,50,21,4,8,2,1,0,121,94,70,47,22,16,17,20,11,10,0
2,20,52,46,49,36,30,27,24,27,168,140,81,52,27,21,3,2,4,1,132,103,71,35,32,14,12,16,13,7,0
0,0,1,3,9,6,10,16,15,20,210,121,75,48,22,9,4,7,2,1,130,107,67,36,25,10,17,13,15,16,0
1,24,37,44,49,35,46,32,28,28,174,140,87,50,27,9,5,1,2,0,139,93,54,42,32,19,15,11,14,9,0
0,1,0,2,8,17,16,17,28,32,173,140,89,56,21,9,5,5,0,0,127,115,68,33,27,15,19,12,12,5,0
3,33,45,46,40,44,33,19,31,22,170,139,76,48,30,19,11,2,1,0,142,91,60,37,24,20,21,7,12,9,0
0,0,1,5,3,11,11,22,8,23,187,149,83,46,16,8,4,1,2,1,132,98,58,49,35,23,17,8,9,6,0
1,20,34,55,53,34,44,34,31,17,162,160,82,52,18,15,3,3,1,0,146,109,55,32,27,10,16,13,13,9,0
0,0,0,4,7,13,19,23,23,29,197,134,66,45,30,13,3,2,2,1,120,104,72,32,33,15,20,15,16,11,0
1,18,47,62,48,39,23,29,35,22,176,139,82,55,22,15,4,1,2,0,142,98,62,32,32,27,13,12,11,7,0
0,1,1,0,2,5,15,21,19,29,187,143,85,43,17,11,7,1,1,0,135,104,59,34,34,27,14,12,8,7,0
3,20,41,48,39,39,39,34,32,29,194,127,81,45,27,11,7,4,0,1,141,89,56,36,33,14,21,15,12,5,0
0,0,2,2,9,16,17,20,20,22,194,127,92,46,20,13,2,1,0,0,124,89,58,48,34,27,16,9,16,13,0
1,18,54,47,42,46,37,15,29,24,181,136,72,43,30,20,9,3,2,1,139,110,53,29,21,24,15,15,11,6,0
0,0,2,4,5,8,13,19,22,17,194,140,98,34,20,8,1,1,0,0,132,103,70,41,28,16,11,13,12,7,0
0,19,40,48,48,48,32,34,21,28,197,135,61,63,23,11,5,2,0,0,138,95,57,41,19,20,20,13,17,10,0
0,0,1,4,4,12,17,22,29,24,198,134,82,36,21,19,3,2,0,0,124,102,61,40,31,20,18,9,10,10,0
2,26,47,46,51,37,30,23,36,21,161,133,88,60,27,16,8,3,2,2,156,80,65,34,22,28,24,9,14,9,0
0,0,0,1,7,7,13,14,22,27,190,153,73,47,13,13,1,2,0,2,136,93,59,43,30,22,22,8,10,14,0
2,21,47,50,37,39,34,39,29,29,193,140,78,39,31,10,4,2,1,1,137,108,56,31,29,20,11,14,8,10,0
0,0,2,1,11,12,13,17,24,27,198,140,66,45,21,15,4,3,2,1,115,95,69,42,25,19,16,18,17,9,0
3,28,36,56,42,39,34,28,30,21,183,141,82,38,18,21,6,4,0,2,121,105,63,41,27,18,19,14,16,11,0
0,2,1,3,2,8,15,15,19,19,192,144,74,44,23,4,6,4,3,0,132,107,67,35,28,11,24,12,12,9,0
0,22,36,54,53,35,38,28,23,31,187,127,79,51,28,10,9,2,3,1,156,96,55,30,21,24,18,9,13,10,0
0,1,3,2,5,14,19,18,21,29,199,137,71,41,25,11,7,1,2,2,131,96,50,41,29,23,14,16,12,13,0
12,51,67,55,39,49,44,30,35,20,274,150,44,19,7,3,1,1,0,0,192,97,52,40,26,15,15,7,8,8,0
5,26,41,34,37,16,24,39,23,24,300,131,37,18,7,3,0,2,0,0,157,120,73,38,20,19,17,11,8,8,0
17,38,68,75,59,41,40,23,26,26,250,163,51,21,9,2,2,1,0,1,193,103,63,32,25,13,6,11,8,11,0
5,15,27,33,20,30,35,28,33,20,285,127,53,14,13,0,3,2,0,1,158,126,73,37,19,11,10,13,11,9,0
12,47,77,64,48,36,40,32,25,30,287,148,39,18,5,1,0,0,1,0,181,112,59,39,18,14,16,9,8,6,0
4,26,40,29,32,33,30,27,24,27,295,122,48,13,12,4,0,0,0,0,189,112,50,45,17,15,12,8,11,5,0
12,49,79,74,55,50,28,23,16,34,275,146,46,24,4,2,0,0,1,0,189,117,59,33,26,14,12,5,5,3,0
3,12,19,42,35,34,27,27,25,23,275,141,49,24,4,5,1,0,0,0,157,118,77,41,21,15,10,7,5,6,0
16,58,66,58,60,51,42,29,24,20,276,153,51,11,3,1,0,0,2,2,172,121,63,31,33,7,12,6,9,11,0
1,23,38,45,37,30,24,25,33,25,297,126,49,13,4,2,0,3,2,1,164,117,80,33,14,17,10,10,7,6,0
19,44,81,71,49,54,25,23,32,38,286,141,39,25,6,2,0,0,0,1,176,112,79,30,15,21,12,7,7,7,0
3,18,24,31,33,32,31,29,31,33,287,136,52,13,7,0,0,0,0,1,165,129,68,39,26,12,8,7,6,5,0
14,49,75,69,64,39,37,39,25,28,274,145,50,23,5,1,0,0,0,1,169,110,74,30,22,17,14,9,6,9,0
5,18,36,43,32,25,39,24,36,35,291,127,54,17,6,0,0,4,0,0,170,106,69,32,27,26,11,9,9,8,0
9,61,64,75,58,44,33,33,25,27,272,140,48,22,11,1,2,2,0,0,174,114,79,28,24,12,8,9,6,9,0
2,12,28,22,35,42,39,34,31,31,298,126,37,19,11,1,1,1,2,0,159,119,72,35,25,14,10,7,12,11,0
11,48,70,67,63,53,37,39,25,21,300,130,55,10,2,2,0,0,0,1,189,116,63,25,21,21,13,8,5,3,0
3,24,26,40,38,33,36,31,38,29,297,125,38,18,8,2,2,1,2,1,159,131,67,34,20,15,11,12,3,12,0
13,56,57,76,66,48,44,27,32,14,280,132,57,24,4,1,0,0,0,0,187,129,52,35,20,16,9,7,7,4,0
4,14,25,39,30,39,37,31,28,37,289,135,44,19,7,0,1,0,0,0,179,120,73,28,16,11,8,12,5,8,0
13,54,61,64,66,49,47,36,25,15,283,160,43,12,2,0,0,0,0,0,191,102,72,26,23,12,14,10,10,6,0
3,23,25,40,47,32,38,28,34,32,287,123,58,21,6,2,0,1,1,0,170,120,58,44,22,11,13,14,9,9,0
13,62,70,61,67,43,41,28,29,24,284,140,47,14,6,5,0,0,1,0,181,117,70,31,22,16,9,10,4,4,0
5,15,22,27,36,41,35,41,41,23,280,131,59,17,7,0,1,1,1,0,167,121,67,29,22,16,9,17,8,5,0
17,59,63,65,63,48,42,37,30,18,293,128,56,15,6,0,0,1,0,0,170,128,70,25,21,16,9,14,8,6,0
4,20,27,46,49,40,29,30,26,37,280,133,57,14,5,1,4,0,1,0,176,112,66,34,22,12,14,10,11,8,0
13,62,82,50,54,56,44,37,23,22,295,134,40,23,4,3,0,0,0,0,181,111,68,39,22,10,15,7,9,6,0
3,11,24,30,40,44,46,36,32,30,276,140,51,19,5,3,2,1,1,1,168,118,62,36,27,14,5,13,11,7,0
15,46,61,60,66,59,38,38,34,22,289,139,48,17,2,1,2,1,0,0,181,106,75,33,23,18,12,5,6,7,0
1,18,26,46,45,40,40,37,26,31,295,139,38,14,7,2,0,1,2,1,165,126,70,26,26,14,11,6,7,12,0
13,59,78,70,58,39,42,31,31,17,305,120,43,19,8,3,0,1,1,0,185,129,55,28,21,10,8,9,13,4,0
4,12,26,26,34,41,46,52,33,30,281,135,44,21,11,3,2,0,0,1,191,103,69,33,20,17,10,6,5,8,0
10,66,59,58,58,52,41,37,32,21,294,142,41,10,8,4,1,0,0,0,193,107,63,34,17,14,18,8,9,6,0
2,16,31,49,36,41,40,36,28,30,289,128,47,20,8,6,0,0,0,0,160,109,63,35,34,20,16,15,5,6,0
14,70,70,63,55,52,37,44,27,16,284,139,45,19,7,2,1,0,0,1,200,95,60,35,20,17,12,11,11,6,0
4,13,20,32,30,49,42,39,40,35,287,117,55,23,6,6,2,2,0,1,179,114,66,36,20,10,17,8,10,11,0
13,51,69,58,53,60,47,49,27,16,286,140,49,16,2,3,0,3,0,0,181,102,75,30,29,14,5,13,8,5,0
3,16,34,27,57,46,34,33,37,28,303,138,34,13,4,0,1,0,2,1,167,116,68,28,33,17,9,16,7,8,0
16,49,70,68,75,39,51,27,25,25,289,130,58,14,6,0,1,0,0,0,191,106,58,39,18,13,13,15,6,6,0
0,11,24,28,45,44,42,44,30,36,281,153,36,19,5,0,2,0,1,1,187,107,62,33,21,16,13,13,7,7,0
8,54,63,72,64,43,43,51,28,19,268,149,54,19,7,2,0,0,0,0,179,106,67,27,32,14,15,9,7,10,0
1,17,19,47,39,49,48,42,25,27,285,143,45,15,2,2,0,2,2,0,180,116,67,40,15,8,13,13,6,10,0
17,57,72,70,56,43,49,33,28,22,308,113,49,24,5,0,0,1,0,0,176,122,57,38,24,15,11,12,5,8,0
4,11,22,26,46,42,45,39,29,33,275,136,53,20,4,3,1,0,3,2,177,123,53,29,25,15,13,11,9,7,0
9,50,66,67,65,60,39,37,30,22,288,138,51,16,5,0,0,0,0,0,181,104,67,46,15,15,14,7,7,9,0
2,13,35,33,45,44,53,32,32,36,290,138,46,15,4,1,2,1,0,0,190,101,70,37,16,14,11,8,12,7,0
15,57,69,59,69,49,43,37,22,23,290,127,46,22,13,1,0,0,0,0,203,110,56,28,14,17,10,11,13,5,0
4,10,27,32,30,43,41,50,35,37,275,143,51,16,8,2,2,0,0,1,180,101,76,37,19,14,8,9,9,8,0
13,40,71,69,66,50,47,40,21,21,280,141,54,10,9,3,0,0,1,2,182,93,75,33,22,19,13,9,12,9,0
3,18,30,38,59,45,31,35,34,20,285,137,47,14,7,2,1,3,1,0,178,117,56,42,23,15,11,13,6,4,0
14,52,75,66,46,57,43,30,39,20,285,136,44,23,8,1,1,1,1,0,191,107,59,38,18,13,17,9,5,7,0
5,11,21,31,36,41,41,38,42,41,292,125,48,19,4,3,1,4,0,0,181,100,71,30,26,12,16,10,9,6,0
8,45,69,63,70,58,44,44,21,22,299,136,42,18,3,1,0,0,0,0,177,117,65,36,15,16,11,10,10,4,0
2,11,35,32,52,48,37,42,29,37,292,127,48,15,9,4,1,0,0,0,175,110,74,32,24,15,12,9,4,7,0
13,51,63,71,60,54,53,32,27,15,278,128,57,24,8,2,1,1,0,0,191,113,52,42,21,12,10,7,8,8,0
3,13,17,34,47,53,41,43,32,23,281,129,59,17,4,3,2,1,0,0,176,122,65,30,22,12,11,10,10,11,0
0,2,8,17,11,13,13,12,13,14,179,120,73,50,28,19,11,9,1,2,109,99,65,38,24,26,24,14,19,15,0
5,49,53,50,37,30,32,30,17,25,159,151,73,67,25,12,3,2,4,2,128,91,57,33,30,23,25,15,17,15,0
2,1,9,13,14,15,13,13,15,16,190,116,82,56,24,12,4,4,6,1,114,95,60,43,27,24,23,12,9,13,0
9,50,55,47,46,32,31,31,17,17,165,124,89,54,34,14,9,4,3,4,123,104,49,39,31,19,16,15,14,11,0
0,0,6,16,14,13,15,13,17,15,192,101,87,50,37,14,10,4,0,1,120,77,65,52,32,25,19,17,14,7,0
8,38,47,60,39,43,25,20,15,28,180,119,96,54,25,13,7,2,1,1,121,90,55,48,32,30,17,11,15,17,0
0,3,8,10,20,12,19,21,13,16,194,120,79,45,32,19,1,1,1,1,123,80,65,34,36,30,19,15,13,9,0
9,42,61,46,39,38,33,25,21,16,158,143,82,49,29,21,10,4,2,0,113,96,66,37,19,22,18,15,15,13,0
0,5,9,10,15,8,8,9,21,14,178,119,69,56,32,18,12,5,0,1,125,81,64,35,40,28,16,17,12,8,0
9,44,53,49,38,35,34,27,15,23,189,121,78,55,33,13,6,1,1,0,107,99,60,40,31,23,29,15,16,11,0
1,3,12,12,10,10,26,16,11,17,175,138,76,45,22,14,19,3,1,0,113,87,59,44,35,22,13,16,14,15,0
5,55,55,52,38,28,37,27,18,26,157,146,77,54,40,12,7,4,1,0,130,85,67,40,34,14,13,18,12,9,0
0,5,7,10,14,15,16,15,14,16,175,121,78,64,26,16,7,3,1,0,114,81,77,42,34,34,18,18,5,13,0
3,43,67,50,34,33,20,23,32,19,152,134,99,54,33,18,3,1,2,0,122,89,62,48,23,23,15,15,18,9,0
1,3,10,13,16,19,15,14,17,12,169,145,81,41,34,10,9,2,3,0,125,68,64,38,38,31,22,21,12,11,0
5,49,60,54,38,32,25,34,19,19,174,135,71,48,20,24,14,5,3,1,127,87,67,33,25,18,13,18,21,15,0
0,4,8,11,14,15,18,13,11,20,167,128,95,42,38,14,3,3,4,0,110,95,62,57,33,24,14,19,15,8,0
5,57,54,37,48,36,21,20,20,24,164,141,85,49,33,14,6,2,2,0,117,79,75,36,27,28,18,17,12,14,0
0,4,6,23,15,13,10,20,10,14,184,127,73,53,38,13,5,4,0,0,129,86,60,30,29,19,20,19,12,18,0
10,51,61,36,42,35,32,29,19,21,184,130,64,57,31,16,10,5,1,1,154,89,49,30,33,14,25,15,8,11,0
2,3,8,11,17,12,15,9,18,20,156,147,85,43,31,16,10,6,1,0,124,84,59,45,44,19,20,16,12,13,0
6,40,64,48,33,38,23,30,24,19,182,126,78,52,35,13,6,3,2,0,144,81,59,40,30,20,14,22,18,7,0
0,3,13,13,16,10,20,16,18,15,188,135,76,37,23,22,7,2,2,1,121,89,49,40,30,16,21,16,21,15,0
11,48,48,53,34,38,28,29,30,22,164,128,86,51,38,13,11,5,2,1,131,88,50,50,30,27,12,10,12,9,0
0,4,11,11,10,17,13,12,8,18,164,133,84,51,36,12,7,4,3,1,111,98,68,48,30,29,13,16,14,12,0
11,40,60,51,37,23,35,20,21,26,173,149,76,52,22,17,5,1,2,2,130,81,54,43,28,29,13,22,13,11,0
0,2,10,14,19,12,16,13,16,16,182,118,99,38,34,12,5,4,4,0,111,82,68,52,32,23,22,19,8,12,0
7,43,69,33,43,31,30,21,34,23,174,129,88,45,29,15,10,5,4,0,122,115,56,31,23,21,17,17,14,7,0
1,2,8,7,19,16,13,19,21,11,169,125,73,55,40,14,12,5,2,0,133,96,54,36,29,16,23,18,16,15,0
7,35,70,55,33,35,13,22,23,23,189,121,94,38,28,12,6,9,2,0,139,86,54,38,36,26,17,17,11,12,0
0,2,6,17,18,12,23,17,15,19,181,123,79,57,29,14,10,1,2,0,112,92,63,41,32,27,12,18,13,15,0
11,45,62,42,36,31,31,31,27,17,157,120,102,62,25,14,9,4,1,2,124,99,70,31,30,19,17,15,18,15,0
0,3,14,15,6,14,9,17,18,11,162,139,90,51,23,16,4,5,6,0,120,100,58,33,34,28,17,21,20,11,0
8,44,59,44,37,33,23,25,26,21,182,127,80,61,23,17,6,2,1,1,121,85,53,44,36,30,18,11,16,19,0
1,1,9,15,12,23,14,24,17,16,177,125,84,51,28,16,6,3,0,5,119,82,63,37,32,28,23,11,17,8,0
9,51,50,59,41,26,35,16,21,23,179,123,81,37,35,18,14,5,2,1,138,73,66,44,21,28,14,18,14,14,0
0,6,6,10,11,18,18,16,15,19,161,152,76,47,31,14,9,2,0,2,123,110,68,35,22,25,17,12,15,10,0
5,44,63,60,34,33,21,20,22,18,163,125,94,56,32,14,8,3,3,0,121,85,62,29,27,29,26,17,18,10,0
0,5,9,14,20,16,22,14,24,9,179,136,74,45,27,21,9,3,1,0,123,88,65,40,25,19,22,10,21,10,0
4,47,62,53,40,26,28,23,19,20,174,136,76,49,35,16,7,3,1,1,113,97,59,35,33,23,10,20,18,10,0
1,3,7,11,17,13,11,19,20,18,172,138,73,39,40,16,13,4,0,0,137,75,70,42,29,26,17,8,13,9,0
6,45,55,59,37,26,25,28,17,23,165,138,92,41,31,22,4,3,1,0,128,87,64,36,30,27,23,12,12,11,0
0,3,8,17,15,12,22,20,17,14,174,141,74,49,27,15,12,3,2,0,116,92,54,37,23,33,24,21,19,12,0
9,44,60,44,50,28,32,25,20,13,180,119,74,65,26,21,5,3,3,2,118,86,64,41,32,23,13,15,19,11,0
2,7,9,11,11,14,15,13,10,14,163,132,99,48,23,12,9,4,1,4,123,96,65,48,26,22,15,14,12,13,0
8,45,67,42,41,30,27,18,26,18,163,143,91,40,31,13,6,4,4,2,113,92,61,43,35,22,19,13,16,15,0
1,5,9,13,18,15,19,14,15,11,187,139,91,36,19,11,5,6,1,2,115,103,70,34,27,25,19,9,7,13,0
7,42,64,52,39,27,32,29,23,24,151,145,87,48,37,17,7,4,2,0,124,93,57,40,33,22,20,12,11,10,0
1,2,8,9,18,15,13,18,17,15,178,124,86,56,26,11,8,3,3,1,117,106,62,43,30,22,14,14,14,11,0
0,47,61,50,35,32,26,20,28,18,179,142,81,48,24,16,6,1,2,1,131,81,67,35,31,15,24,13,14,11,0
0,4,7,16,14,21,20,15,22,15,171,134,79,51,31,15,5,4,3,1,125,81,63,39,40,17,15,15,21,13,0
9,33,76,38,46,31,31,22,25,23,167,128,76,58,27,25,8,4,4,1,137,86,59,35,26,27,13,23,10,7,0
2,1,7,10,21,11,19,15,9,18,169,139,85,46,26,13,9,4,3,1,118,90,66,51,32,24,20,15,10,8,0
11,43,51,44,44,32,20,21,34,28,175,130,95,46,27,12,6,3,4,0,135,90,42,44,33,21,16,20,17,16,0
0,2,10,11,17,20,18,21,18,16,183,140,88,36,25,13,6,2,1,1,119,83,68,40,41,24,18,14,14,11,0
11,47,52,46,43,35,26,23,25,19,158,127,101,48,35,14,9,1,3,1,114,85,72,40,32,25,14,14,15,13,0
0,0,6,8,7,6,11,19,15,11,159,124,77,64,27,17,12,9,3,1,113,108,73,38,25,28,16,20,12,7,0
4,43,51,56,44,35,32,27,27,28,181,125,84,53,33,10,4,4,3,0,143,80,67,41,27,26,20,18,12,10,0
0,1,6,9,14,6,22,11,20,15,155,127,98,53,32,16,5,6,2,3,112,96,65,41,25,26,16,25,17,9,0
5,36,52,71,34,39,26,31,33,28,165,118,88,60,35,17,9,3,1,0,146,94,42,37,35,25,20,14,18,15,0
0,0,5,4,8,12,11,9,16,17,142,130,104,55,41,14,5,2,3,0,137,91,58,49,25,20,15,14,17,12,0
9,37,54,51,38,46,38,22,24,24,136,139,95,68,28,18,8,4,1,2,141,83,59,47,23,19,21,10,16,5,0
0,5,1,7,10,13,12,16,15,22,176,136,83,54,21,9,6,3,5,2,108,92,76,41,34,21,11,19,12,14,0
3,34,56,72,43,34,29,33,27,19,163,130,80,62,30,12,8,6,3,1,137,98,61,33,29,21,26,15,17,8,0
1,1,4,8,4,9,21,13,7,19,175,115,88,54,26,13,11,4,3,1,128,92,65,47,28,25,22,17,12,7,0
4,47,49,54,37,48,35,22,25,27,167,131,82,53,34,13,11,6,2,0,134,108,57,38,31,23,20,16,13,9,0
1,1,9,7,9,12,10,14,20,16,166,110,98,63,25,18,8,5,1,0,121,86,51,42,38,26,15,14,17,20,0
3,38,52,62,45,42,24,27,33,22,171,135,85,43,33,13,10,4,3,1,139,87,64,38,32,21,19,11,15,9,0
0,1,3,11,7,7,11,11,16,11,170,122,80,57,28,19,9,2,5,2,139,103,67,32,35,19,18,15,6,6,0
5,47,59,47,39,43,28,22,29,24,158,124,98,41,38,19,12,7,0,2,122,97,66,55,18,22,19,16,17,10,0
0,2,6,11,8,12,9,19,14,15,171,121,81,53,33,23,5,9,1,0,129,92,50,39,21,18,21,16,19,15,0
5,31,70,57,41,35,23,26,35,27,153,126,101,43,30,16,15,6,5,3,120,105,60,45,26,21,21,25,9,16,0
0,2,4,5,8,11,10,12,14,14,159,131,91,50,27,16,12,2,3,4,135,87,68,46,23,21,14,15,17,17,0
6,37,56,68,41,33,29,22,27,18,151,135,97,55,27,16,5,4,4,0,132,93,69,48,24,26,15,13,16,11,0
1,0,4,7,12,14,16,11,20,18,170,120,78,60,28,17,13,4,2,2,129,86,59,43,25,21,24,19,17,14,0
6,38,58,64,40,33,24,24,34,21,172,127,81,45,34,15,13,6,2,2,135,103,56,30,37,25,16,13,12,14,0
0,0,4,11,9,11,7,15,13,23,148,128,92,51,30,17,12,6,6,3,144,91,64,43,19,19,15,11,14,12,0
6,39,58,62,41,36,24,30,22,20,160,144,70,64,31,16,7,0,3,2,115,104,60,36,30,33,16,13,17,13,0
0,1,6,15,10,8,12,18,16,11,154,142,69,59,37,23,7,2,4,1,113,102,58,36,30,17,23,20,16,13,0
5,43,65,45,51,31,36,16,29,22,149,135,88,60,31,19,11,3,1,1,143,94,56,40,23,15,29,16,15,10,0
0,2,2,5,9,12,11,11,18,16,167,128,76,56,36,20,4,3,3,3,130,93,62,43,26,23,16,15,13,12,0
6,42,66,49,48,34,26,32,23,11,172,135,88,54,26,12,6,3,2,1,134,94,67,38,29,21,16,19,16,5,0
1,3,5,9,9,13,17,14,12,11,166,129,74,57,34,20,8,3,2,1,122,84,66,43,33,19,25,18,14,15,0
7,39,65,64,34,39,24,22,24,17,155,131,91,64,18,20,6,6,2,2,134,91,61,48,29,19,16,13,19,14,0
0,2,3,3,15,18,7,14,14,6,167,142,78,45,29,17,7,8,0,0,134,104,54,42,24,25,18,16,16,9,0
5,47,57,45,50,42,20,30,23,20,153,151,95,55,18,15,6,2,2,2,120,99,72,37,31,26,10,18,11,12,0
0,1,8,9,14,13,12,12,16,23,177,127,77,56,28,17,10,2,2,1,121,99,64,47,22,21,14,14,14,8,0
7,42,72,42,42,36,31,27,20,17,149,137,87,65,30,10,10,6,3,1,136,86,66,46,27,30,22,17,12,7,0
0,3,7,8,7,12,6,9,14,17,168,122,85,53,27,23,7,6,3,2,139,98,65,44,24,25,14,8,13,11,0
9,46,55,57,28,49,30,23,18,23,157,146,84,57,27,11,10,2,2,1,150,74,59,37,25,23,23,12,17,16,0
0,1,7,7,13,11,12,20,18,14,165,118,97,38,36,15,9,8,3,1,135,79,70,51,30,13,17,12,14,14,0
4,49,69,54,29,25,38,25,23,28,159,149,71,60,31,14,8,3,2,2,130,91,58,46,33,17,15,14,12,18,0
0,0,3,8,11,13,13,21,7,9,179,135,72,49,27,19,8,5,1,1,133,91,69,43,32,21,16,16,8,11,0
5,53,59,41,51,35,23,30,24,23,154,136,90,57,30,13,5,7,4,0,149,80,62,41,34,18,13,16,13,10,0
0,0,8,10,13,14,9,13,13,19,173,127,82,46,34,11,12,6,1,0,138,99,52,30,26,23,17,17,19,14,0
7,42,66,59,38,39,31,22,20,22,158,141,85,47,40,14,9,4,1,0,132,96,47,47,33,30,18,15,9,13,0
0,2,3,5,10,6,10,18,22,15,152,128,81,56,33,17,12,6,2,2,138,92,58,50,35,26,15,13,15,7,0
3,44,66,53,37,29,36,33,23,22,151,137,79,58,35,22,7,6,2,2,133,96,52,38,29,20,18,20,18,14,0
0,3,5,7,10,18,15,15,11,16,168,127,76,51,35,20,5,5,8,0,112,102,61,46,31,22,14,25,12,11,0
3,47,68,47,44,25,26,40,24,30,176,112,93,45,39,17,8,3,5,0,139,92,52,50,25,20,22,13,10,15,0
1,1,5,4,9,13,13,17,15,15,174,117,86,52,26,16,12,5,3,4,127,111,56,51,19,20,21,15,6,12,0
4,45,59,56,39,39,22,24,24,31,180,113,88,55,28,20,6,5,2,1,135,97,60,34,26,29,17,10,8,18,0
0,1,7,7,12,9,16,12,17,31,157,129,93,57,33,6,12,5,1,0,131,99,57,48,23,22,17,17,16,9,0
2,48,57,52,56,28,30,29,23,21,167,136,83,51,29,13,7,6,3,1,142,81,59,41,34,28,21,15,11,9,0
0,1,2,9,10,9,13,15,14,15,184,105,88,52,31,12,10,3,4,1,125,103,72,39,21,25,20,11,19,8,0
4,49,58,52,45,28,31,30,28,25,166,145,88,50,24,12,7,4,0,1,149,84,58,34,29,24,17,13,11,14,0
0,3,6,7,14,9,9,19,18,13,167,131,82,52,32,15,7,5,3,2,127,103,55,35,36,20,12,20,13,17,0
6,45,62,51,39,36,36,31,25,23,166,130,90,55,33,13,6,7,0,0,137,71,76,37,28,30,16,20,12,21,0
0,3,4,10,5,12,11,13,18,14,161,147,77,53,23,19,5,3,2,2,132,94,55,43,31,23,23,17,15,10,0
7,43,67,55,36,34,24,20,25,26,163,142,96,54,25,10,4,1,2,1,149,84,49,41,29,20,16,19,15,15,0
