f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,label
13,0,1,0,0,0,0,0,0,13,0,1,0,0,0,13,0,1,0,0
7,1,3,1,0,0,0,0,0,7,1,3,1,0,0,7,1,3,1,0
11,0,1,0,2,0,0,0,0,11,0,1,0,2,0,11,0,1,0,0
4,1,1,1,1,0,0,0,0,4,1,1,1,1,0,4,1,1,1,0
5,1,1,1,1,0,0,0,0,5,1,1,1,1,0,5,1,1,1,0
7,0,3,1,1,0,0,0,0,7,0,3,1,1,0,7,0,3,1,0
10,2,2,0,2,0,0,0,0,10,2,2,0,2,0,10,2,2,0,0
11,1,0,1,1,0,0,0,0,11,1,0,1,1,0,11,1,0,1,0
12,3,2,1,1,0,0,0,0,12,3,2,1,1,0,12,3,2,1,0
8,0,0,0,0,0,0,0,0,8,0,0,0,0,0,8,0,0,0,0
10,3,1,1,0,0,0,0,0,10,3,1,1,0,0,10,3,1,1,0
6,3,1,1,0,0,0,0,0,6,3,1,1,0,0,6,3,1,1,0
10,1,0,0,0,0,0,0,0,10,1,0,0,0,0,10,1,0,0,0
7,3,0,0,1,0,0,0,0,7,3,0,0,1,0,7,3,0,0,0
4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0
6,0,0,1,0,0,0,0,0,6,0,0,1,0,0,6,0,0,1,0
6,3,3,2,0,0,0,0,0,6,3,3,2,0,0,6,3,3,2,0
1,1,0,1,1,0,0,0,0,1,1,0,1,1,0,1,1,0,1,0
5,2,0,0,0,0,0,0,0,5,2,0,0,0,0,5,2,0,0,0
14,1,1,0,1,0,0,0,0,14,1,1,0,1,0,14,1,1,0,0
2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0
3,0,1,1,0,0,0,0,0,3,0,1,1,0,0,3,0,1,1,0
11,4,2,0,0,0,0,0,0,11,4,2,0,0,0,11,4,2,0,0
4,1,1,1,2,0,0,0,0,4,1,1,1,2,0,4,1,1,1,1
6,2,3,0,0,0,0,0,0,6,2,3,0,0,0,6,2,3,0,1
4,0,1,0,0,0,0,0,0,4,0,1,0,0,0,4,0,1,0,1
3,1,2,0,0,0,0,0,0,3,1,2,0,0,0,3,1,2,0,1
3,2,0,0,0,0,0,0,0,3,2,0,0,0,0,3,2,0,0,1
64,28,4,7,4,8,6,6,4,64,28,4,7,4,8,64,28,4,7,1
4,0,0,1,0,0,0,0,0,4,0,0,1,0,0,4,0,0,1,1
26,12,2,3,2,0,0,1,0,26,12,2,3,2,0,26,12,2,3,1
214,91,40,24,9,5,6,6,3,214,91,40,24,9,5,214,91,40,24,1
186,65,7,7,3,2,0,0,1,186,65,7,7,3,2,186,65,7,7,1
154,74,35,10,9,4,4,1,2,154,74,35,10,9,4,154,74,35,10,1
281,116,83,69,31,24,27,21,14,281,116,83,69,31,24,281,116,83,69,1
139,66,36,20,7,7,6,5,3,139,66,36,20,7,7,139,66,36,20,1
131,46,10,6,2,0,1,1,0,131,46,10,6,2,0,131,46,10,6,1
240,72,39,15,9,10,3,5,2,240,72,39,15,9,10,240,72,39,15,1
242,125,83,52,30,27,32,20,16,242,125,83,52,30,27,242,125,83,52,1
173,71,31,12,4,0,4,4,4,173,71,31,12,4,0,173,71,31,12,1
149,34,14,3,4,1,0,0,1,149,34,14,3,4,1,149,34,14,3,1
287,108,40,23,12,2,7,4,2,287,108,40,23,12,2,287,108,40,23,1
294,132,69,50,30,28,14,27,27,294,132,69,50,30,28,294,132,69,50,1
215,78,48,20,5,8,5,2,4,215,78,48,20,5,8,215,78,48,20,1
164,58,20,5,0,0,2,2,0,164,58,20,5,0,0,164,58,20,5,1
241,129,58,29,21,14,4,7,3,241,129,58,29,21,14,241,129,58,29,1
233,148,81,71,40,33,33,32,25,233,148,81,71,40,33,233,148,81,71,1
167,50,33,17,4,6,3,2,1,167,50,33,17,4,6,167,50,33,17,1
53,20,9,0,1,1,2,0,0,53,20,9,0,1,1,53,20,9,0,1
85,37,14,13,13,5,3,4,4,85,37,14,13,13,5,85,37,14,13,1
137,55,21,12,11,2,4,1,1,137,55,21,12,11,2,137,55,21,12,1
188,68,33,28,12,9,15,3,7,188,68,33,28,12,9,188,68,33,28,1
90,47,21,7,4,4,1,1,0,90,47,21,7,4,4,90,47,21,7,1
213,125,70,44,30,21,13,12,7,213,125,70,44,30,21,213,125,70,44,1
260,163,100,77,51,28,31,17,34,260,163,100,77,51,28,260,163,100,77,1
159,71,38,16,11,6,4,3,1,159,71,38,16,11,6,159,71,38,16,1
119,37,16,8,5,0,3,1,1,119,37,16,8,5,0,119,37,16,8,1
206,124,60,32,12,13,3,4,2,206,124,60,32,12,13,206,124,60,32,1
172,172,102,71,39,40,33,31,29,172,172,102,71,39,40,172,172,102,71,1
176,68,58,23,7,4,3,0,0,176,68,58,23,7,4,176,68,58,23,1
225,50,19,3,1,1,1,0,0,225,50,19,3,1,1,225,50,19,3,1
227,120,78,66,24,24,25,15,11,227,120,78,66,24,24,227,120,78,66,1
226,130,100,70,32,37,36,32,31,226,130,100,70,32,37,226,130,100,70,1
186,91,38,19,10,7,0,4,3,186,91,38,19,10,7,186,91,38,19,1
109,42,17,6,3,3,2,0,0,109,42,17,6,3,3,109,42,17,6,1
251,89,29,18,9,4,4,4,2,251,89,29,18,9,4,251,89,29,18,1
248,151,88,62,40,37,25,25,21,248,151,88,62,40,37,248,151,88,62,1
165,89,32,32,16,8,9,8,6,165,89,32,32,16,8,165,89,32,32,1
129,36,21,8,7,1,1,0,1,129,36,21,8,7,1,129,36,21,8,1
263,106,69,33,21,7,13,6,2,263,106,69,33,21,7,263,106,69,33,1
252,181,99,64,34,38,37,28,21,252,181,99,64,34,38,252,181,99,64,1
212,91,41,32,14,6,8,11,7,212,91,41,32,14,6,212,91,41,32,1
175,52,9,9,3,0,1,0,0,175,52,9,9,3,0,175,52,9,9,1
248,97,48,17,17,6,3,8,1,248,97,48,17,17,6,248,97,48,17,1
223,141,85,68,46,43,33,26,22,223,141,85,68,46,43,223,141,85,68,1
199,94,34,34,9,5,6,4,2,199,94,34,34,9,5,199,94,34,34,1
93,24,10,5,1,1,2,1,0,93,24,10,5,1,1,93,24,10,5,1
67,27,14,5,3,1,0,2,0,67,27,14,5,3,1,67,27,14,5,1
14,4,4,0,1,1,0,1,0,14,4,4,0,1,1,14,4,4,0,1
3,0,0,1,0,0,0,0,0,3,0,0,1,0,0,3,0,0,1,1
9,6,2,1,0,0,1,1,2,9,6,2,1,0,0,9,6,2,1,1
1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,1,1,0,0,1
139,55,21,9,2,3,0,0,0,139,55,21,9,2,3,139,55,21,9,1
114,34,16,5,2,3,2,3,0,114,34,16,5,2,3,114,34,16,5,1
316,162,72,46,19,17,5,11,4,316,162,72,46,19,17,316,162,72,46,1
220,165,84,44,42,24,17,21,23,220,165,84,44,42,24,220,165,84,44,1
185,69,31,26,9,10,5,7,1,185,69,31,26,9,10,185,69,31,26,1
149,53,53,23,8,4,2,6,7,149,53,53,23,8,4,149,53,53,23,1
259,154,98,73,40,41,19,18,22,259,154,98,73,40,41,259,154,98,73,1
231,147,83,41,38,23,12,13,16,231,147,83,41,38,23,231,147,83,41,1
223,73,27,10,12,5,3,2,1,223,73,27,10,12,5,223,73,27,10,1
173,65,36,14,9,5,5,4,2,173,65,36,14,9,5,173,65,36,14,1
298,149,56,32,19,14,12,11,10,298,149,56,32,19,14,298,149,56,32,1
193,120,77,43,37,30,29,24,28,193,120,77,43,37,30,193,120,77,43,1
124,49,12,5,3,3,0,0,0,124,49,12,5,3,3,124,49,12,5,1
152,68,33,24,11,8,7,2,0,152,68,33,24,11,8,152,68,33,24,1
200,85,37,16,18,10,8,6,2,200,85,37,16,18,10,200,85,37,16,1
187,139,83,69,32,36,22,15,21,187,139,83,69,32,36,187,139,83,69,1
220,78,31,17,9,6,4,4,0,220,78,31,17,9,6,220,78,31,17,1
195,71,39,23,8,9,10,2,2,195,71,39,23,8,9,195,71,39,23,1
178,70,29,18,7,7,4,4,1,178,70,29,18,7,7,178,70,29,18,1
219,131,78,37,26,27,18,15,19,219,131,78,37,26,27,219,131,78,37,1
74,29,15,9,4,5,2,1,1,74,29,15,9,4,5,74,29,15,9,1
85,52,24,16,6,4,3,4,6,85,52,24,16,6,4,85,52,24,16,1
114,45,23,13,3,3,5,2,4,114,45,23,13,3,3,114,45,23,13,1
226,104,51,40,23,17,23,9,12,226,104,51,40,23,17,226,104,51,40,1
229,97,42,26,14,8,9,2,5,229,97,42,26,14,8,229,97,42,26,1
152,45,25,21,9,5,2,4,4,152,45,25,21,9,5,152,45,25,21,1
263,87,18,7,3,3,1,0,1,263,87,18,7,3,3,263,87,18,7,1
239,139,93,48,35,24,29,18,13,239,139,93,48,35,24,239,139,93,48,1
225,96,35,17,7,2,4,2,2,225,96,35,17,7,2,225,96,35,17,1
205,47,33,6,4,2,1,2,2,205,47,33,6,4,2,205,47,33,6,1
177,147,74,57,32,31,21,35,27,177,147,74,57,32,31,177,147,74,57,1
199,128,92,54,24,35,30,22,23,199,128,92,54,24,35,199,128,92,54,1
201,74,28,17,3,6,3,4,2,201,74,28,17,3,6,201,74,28,17,1
144,35,16,2,3,0,3,0,0,144,35,16,2,3,0,144,35,16,2,1
190,68,21,21,9,5,2,1,4,190,68,21,21,9,5,190,68,21,21,1
173,127,83,52,22,28,21,26,21,173,127,83,52,22,28,173,127,83,52,1
215,62,34,23,7,7,2,3,0,215,62,34,23,7,7,215,62,34,23,1
230,80,42,26,14,12,5,5,1,230,80,42,26,14,12,230,80,42,26,1
237,121,75,61,38,17,24,19,11,237,121,75,61,38,17,237,121,75,61,1
229,120,93,47,28,26,29,28,18,229,120,93,47,28,26,229,120,93,47,1
193,92,40,15,12,7,5,7,4,193,92,40,15,12,7,193,92,40,15,1
33,8,6,3,3,1,2,1,0,33,8,6,3,3,1,33,8,6,3,1
216,60,29,21,6,7,2,2,0,216,60,29,21,6,7,216,60,29,21,1
173,109,88,48,36,36,32,21,21,173,109,88,48,36,36,173,109,88,48,1
183,56,33,14,8,7,2,6,0,183,56,33,14,8,7,183,56,33,14,1
161,64,35,19,14,1,3,4,1,161,64,35,19,14,1,161,64,35,19,1
94,40,14,7,3,1,1,2,0,94,40,14,7,3,1,94,40,14,7,1
187,87,52,37,27,15,12,10,9,187,87,52,37,27,15,187,87,52,37,1
146,53,37,16,12,3,6,3,2,146,53,37,16,12,3,146,53,37,16,1
127,34,28,5,9,2,5,4,5,127,34,28,5,9,2,127,34,28,5,1
286,126,63,29,18,21,16,9,7,286,126,63,29,18,21,286,126,63,29,1
204,130,84,59,39,29,33,34,35,204,130,84,59,39,29,204,130,84,59,1
171,46,24,4,5,6,2,0,1,171,46,24,4,5,6,171,46,24,4,1
20,2,0,0,2,0,1,1,1,20,2,0,0,2,0,20,2,0,0,1
1,2,0,1,0,0,0,1,0,1,2,0,1,0,0,1,2,0,1,1
29,5,2,5,1,0,0,1,0,29,5,2,5,1,0,29,5,2,5,1
96,22,21,12,5,3,2,2,2,96,22,21,12,5,3,96,22,21,12,1
88,46,18,22,3,9,7,4,3,88,46,18,22,3,9,88,46,18,22,1
226,89,42,33,23,24,19,13,11,226,89,42,33,23,24,226,89,42,33,1
235,101,59,33,23,14,7,10,9,235,101,59,33,23,14,235,101,59,33,1
180,38,14,7,3,2,0,2,0,180,38,14,7,3,2,180,38,14,7,1
168,79,28,20,12,4,1,5,1,168,79,28,20,12,4,168,79,28,20,1
203,67,46,19,12,9,13,7,4,203,67,46,19,12,9,203,67,46,19,1
260,92,43,31,21,13,9,7,4,260,92,43,31,21,13,260,92,43,31,1
157,80,29,15,13,9,9,6,2,157,80,29,15,13,9,157,80,29,15,1
69,31,19,14,10,3,3,1,0,69,31,19,14,10,3,69,31,19,14,1
209,62,30,21,13,6,7,5,2,209,62,30,21,13,6,209,62,30,21,1
264,111,62,41,28,24,15,10,12,264,111,62,41,28,24,264,111,62,41,1
102,43,12,5,0,1,2,0,0,102,43,12,5,0,1,102,43,12,5,1
137,65,42,23,14,8,9,4,10,137,65,42,23,14,8,137,65,42,23,1
124,34,14,5,1,0,0,0,0,124,34,14,5,1,0,124,34,14,5,1
222,91,54,19,23,19,12,10,6,222,91,54,19,23,19,222,91,54,19,1
24,3,0,0,0,0,0,0,0,24,3,0,0,0,0,24,3,0,0,1
218,74,43,19,10,9,1,5,1,218,74,43,19,10,9,218,74,43,19,1
269,119,63,35,16,18,18,23,17,269,119,63,35,16,18,269,119,63,35,1
225,94,55,31,23,21,6,16,8,225,94,55,31,23,21,225,94,55,31,1
92,24,8,8,0,0,0,0,0,92,24,8,8,0,0,92,24,8,8,1
211,76,36,27,11,6,9,6,2,211,76,36,27,11,6,211,76,36,27,1
260,141,91,58,43,34,26,21,34,260,141,91,58,43,34,260,141,91,58,1
194,80,43,23,18,15,12,5,4,194,80,43,23,18,15,194,80,43,23,1
121,39,9,3,0,1,0,0,0,121,39,9,3,0,1,121,39,9,3,1
189,94,41,30,15,14,5,5,4,189,94,41,30,15,14,189,94,41,30,1
299,166,64,44,33,25,14,16,2,299,166,64,44,33,25,299,166,64,44,1
214,110,61,37,13,11,10,7,6,214,110,61,37,13,11,214,110,61,37,1
36,7,2,1,1,0,0,0,0,36,7,2,1,1,0,36,7,2,1,1
146,47,19,9,3,5,2,3,1,146,47,19,9,3,5,146,47,19,9,1
218,131,71,46,40,44,30,17,30,218,131,71,46,40,44,218,131,71,46,1
242,107,60,34,21,16,11,8,5,242,107,60,34,21,16,242,107,60,34,1
141,43,21,5,1,1,0,0,0,141,43,21,5,1,1,141,43,21,5,1
161,80,43,28,19,9,2,6,5,161,80,43,28,19,9,161,80,43,28,1
286,120,72,34,18,23,18,16,9,286,120,72,34,18,23,286,120,72,34,1
241,126,69,37,25,16,18,9,10,241,126,69,37,25,16,241,126,69,37,1
47,9,1,3,3,1,0,0,0,47,9,1,3,3,1,47,9,1,3,1
211,98,43,26,20,10,6,4,1,211,98,43,26,20,10,211,98,43,26,1
310,103,52,26,20,12,13,5,5,310,103,52,26,20,12,310,103,52,26,1
198,95,65,33,19,16,13,8,6,198,95,65,33,19,16,198,95,65,33,1
96,20,7,3,4,0,0,1,0,96,20,7,3,4,0,96,20,7,3,1
254,118,66,41,22,15,15,9,5,254,118,66,41,22,15,254,118,66,41,1
212,166,94,65,52,32,39,21,29,212,166,94,65,52,32,212,166,94,65,1
237,117,54,28,22,10,10,13,6,237,117,54,28,22,10,237,117,54,28,1
78,19,10,6,3,1,0,1,0,78,19,10,6,3,1,78,19,10,6,1
251,104,49,36,22,15,7,2,5,251,104,49,36,22,15,251,104,49,36,1
222,136,105,80,43,24,32,34,32,222,136,105,80,43,24,222,136,105,80,1
168,68,50,18,10,11,9,8,6,168,68,50,18,10,11,168,68,50,18,1
61,16,12,3,1,0,0,0,0,61,16,12,3,1,0,61,16,12,3,1
138,56,34,13,12,3,5,4,1,138,56,34,13,12,3,138,56,34,13,1
181,79,30,20,13,16,15,10,6,181,79,30,20,13,16,181,79,30,20,1
234,114,56,40,20,14,13,14,11,234,114,56,40,20,14,234,114,56,40,1
87,29,10,5,2,0,1,0,0,87,29,10,5,2,0,87,29,10,5,1
11,10,6,2,3,2,0,1,2,11,10,6,2,3,2,11,10,6,2,1
2,0,1,1,0,0,0,0,0,2,0,1,1,0,0,2,0,1,1,1
3,1,0,0,0,0,0,0,0,3,1,0,0,0,0,3,1,0,0,1
154,54,22,7,5,4,2,3,1,154,54,22,7,5,4,154,54,22,7,1
228,160,98,48,41,46,31,30,25,228,160,98,48,41,46,228,160,98,48,1
192,95,46,40,17,12,8,13,6,192,95,46,40,17,12,192,95,46,40,1
34,4,3,1,0,0,0,0,0,34,4,3,1,0,0,34,4,3,1,1
50,19,6,4,1,2,0,0,0,50,19,6,4,1,2,50,19,6,4,1
3,1,0,0,0,0,0,0,0,3,1,0,0,0,0,3,1,0,0,1
157,57,34,12,4,5,5,2,2,157,57,34,12,4,5,157,57,34,12,1
96,22,9,0,0,1,0,0,0,96,22,9,0,0,1,96,22,9,0,1
207,70,34,23,10,6,8,2,7,207,70,34,23,10,6,207,70,34,23,1
309,115,55,33,17,10,8,5,3,309,115,55,33,17,10,309,115,55,33,1
197,68,40,17,10,10,8,5,3,197,68,40,17,10,10,197,68,40,17,1
97,19,14,2,2,1,0,0,0,97,19,14,2,2,1,97,19,14,2,1
226,89,67,34,21,12,10,11,4,226,89,67,34,21,12,226,89,67,34,1
200,126,95,74,34,42,37,40,31,200,126,95,74,34,42,200,126,95,74,1
257,111,62,32,12,10,5,7,4,257,111,62,32,12,10,257,111,62,32,1
56,15,5,3,1,0,0,0,0,56,15,5,3,1,0,56,15,5,3,1
71,36,15,6,4,2,1,2,0,71,36,15,6,4,2,71,36,15,6,1
254,139,84,58,37,26,29,35,17,254,139,84,58,37,26,254,139,84,58,1
203,110,55,44,18,13,16,13,14,203,110,55,44,18,13,203,110,55,44,1
54,19,3,5,4,0,1,0,0,54,19,3,5,4,0,54,19,3,5,1
164,76,40,29,13,8,8,9,3,164,76,40,29,13,8,164,76,40,29,1
232,150,78,61,26,36,26,32,33,232,150,78,61,26,36,232,150,78,61,1
210,76,42,31,15,15,5,3,3,210,76,42,31,15,15,210,76,42,31,1
227,66,24,10,7,1,0,1,0,227,66,24,10,7,1,227,66,24,10,1
269,115,62,31,14,12,4,5,1,269,115,62,31,14,12,269,115,62,31,1
278,171,93,54,41,25,24,15,17,278,171,93,54,41,25,278,171,93,54,1
118,78,60,25,18,16,11,13,6,118,78,60,25,18,16,118,78,60,25,1
91,39,15,13,12,5,5,5,2,91,39,15,13,12,5,91,39,15,13,1
166,95,54,41,20,18,18,12,11,166,95,54,41,20,18,166,95,54,41,1
183,128,109,66,44,50,30,38,38,183,128,109,66,44,50,183,128,109,66,1
221,111,54,24,16,14,18,10,9,221,111,54,24,16,14,221,111,54,24,1
133,50,25,8,2,1,1,0,3,133,50,25,8,2,1,133,50,25,8,1
195,95,51,29,16,17,5,7,6,195,95,51,29,16,17,195,95,51,29,1
196,162,91,74,48,41,40,44,47,196,162,91,74,48,41,196,162,91,74,1
259,118,67,25,24,9,12,11,7,259,118,67,25,24,9,259,118,67,25,1
161,33,18,9,2,2,0,0,0,161,33,18,9,2,2,161,33,18,9,1
214,119,62,30,16,6,8,10,2,214,119,62,30,16,6,214,119,62,30,1
205,147,95,61,40,45,31,33,44,205,147,95,61,40,45,205,147,95,61,1
193,83,48,20,10,14,10,7,4,193,83,48,20,10,14,193,83,48,20,1
68,13,7,3,1,0,1,0,1,68,13,7,3,1,0,68,13,7,3,1
185,66,36,11,7,9,4,2,2,185,66,36,11,7,9,185,66,36,11,1
341,166,89,30,23,18,7,6,3,341,166,89,30,23,18,341,166,89,30,1
263,117,59,31,22,16,8,11,1,263,117,59,31,22,16,263,117,59,31,1
138,24,12,8,2,3,1,1,0,138,24,12,8,2,3,138,24,12,8,1
258,93,73,37,17,18,10,5,5,258,93,73,37,17,18,258,93,73,37,1
235,165,86,76,52,32,30,29,32,235,165,86,76,52,32,235,165,86,76,1
214,96,49,31,25,20,10,9,6,214,96,49,31,25,20,214,96,49,31,1
132,28,10,5,1,0,0,0,0,132,28,10,5,1,0,132,28,10,5,1
209,83,51,22,14,15,9,4,1,209,83,51,22,14,15,209,83,51,22,1
250,167,88,77,46,44,43,42,19,250,167,88,77,46,44,250,167,88,77,1
172,57,44,29,11,10,8,4,6,172,57,44,29,11,10,172,57,44,29,1
146,38,11,8,1,2,0,0,1,146,38,11,8,1,2,146,38,11,8,1
182,43,24,20,11,4,3,1,0,182,43,24,20,11,4,182,43,24,20,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,1,1,1,0,0,0,0,0,2,1,1,1,0,0,2,1,1,1,1
22,14,2,4,3,2,2,1,6,22,14,2,4,3,2,22,14,2,4,1
5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,1
18,8,6,0,1,0,0,0,0,18,8,6,0,1,0,18,8,6,0,1
209,73,25,11,12,5,3,5,2,209,73,25,11,12,5,209,73,25,11,1
271,134,77,50,37,30,25,25,12,271,134,77,50,37,30,271,134,77,50,1
169,68,21,11,9,5,2,0,0,169,68,21,11,9,5,169,68,21,11,1
133,24,6,1,0,0,0,0,0,133,24,6,1,0,0,133,24,6,1,1
183,101,85,54,34,30,22,20,12,183,101,85,54,34,30,183,101,85,54,1
204,136,96,67,43,46,48,37,24,204,136,96,67,43,46,204,136,96,67,1
