f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,label
1102,18,4,1,2,0,1,0,0,0,1102,18,4,1,2,0,1,1102,18,4,1,2,0
1067,22,3,1,1,0,0,0,0,0,1067,22,3,1,1,0,0,1067,22,3,1,1,0
1106,19,2,1,0,0,0,0,0,0,1106,19,2,1,0,0,0,1106,19,2,1,0,0
1061,8,2,0,1,0,0,0,0,0,1061,8,2,0,1,0,0,1061,8,2,0,1,0
1097,27,4,1,1,1,0,0,0,0,1097,27,4,1,1,1,0,1097,27,4,1,1,0
1070,16,3,2,1,0,1,0,0,0,1070,16,3,2,1,0,1,1070,16,3,2,1,0
1110,25,3,2,0,0,1,0,0,0,1110,25,3,2,0,0,1,1110,25,3,2,0,0
1068,14,0,0,0,0,0,0,0,0,1068,14,0,0,0,0,0,1068,14,0,0,0,0
1095,19,4,4,4,0,0,0,0,0,1095,19,4,4,4,0,0,1095,19,4,4,4,0
1073,12,1,0,1,0,0,0,0,0,1073,12,1,0,1,0,0,1073,12,1,0,1,0
1097,23,1,0,1,0,1,0,0,0,1097,23,1,0,1,0,1,1097,23,1,0,1,0
1057,15,1,2,2,0,0,0,0,0,1057,15,1,2,2,0,0,1057,15,1,2,2,0
1113,26,3,1,0,0,0,0,0,0,1113,26,3,1,0,0,0,1113,26,3,1,0,0
1069,17,3,1,1,0,0,0,0,0,1069,17,3,1,1,0,0,1069,17,3,1,1,0
1101,29,4,1,2,2,0,0,0,0,1101,29,4,1,2,2,0,1101,29,4,1,2,0
1055,29,0,0,1,1,0,0,0,0,1055,29,0,0,1,1,0,1055,29,0,0,1,0
1084,23,1,0,2,1,0,0,0,0,1084,23,1,0,2,1,0,1084,23,1,0,2,0
1064,14,2,3,2,0,1,0,0,0,1064,14,2,3,2,0,1,1064,14,2,3,2,0
1091,31,4,1,1,0,0,0,0,0,1091,31,4,1,1,0,0,1091,31,4,1,1,0
1068,20,1,1,0,0,1,0,0,0,1068,20,1,1,0,0,1,1068,20,1,1,0,0
1076,22,0,0,3,2,4,0,0,0,1076,22,0,0,3,2,4,1076,22,0,0,3,0
1070,21,1,1,1,1,0,0,0,0,1070,21,1,1,1,1,0,1070,21,1,1,1,0
1085,26,3,3,0,2,0,0,0,0,1085,26,3,3,0,2,0,1085,26,3,3,0,0
1075,9,1,1,2,0,0,0,0,0,1075,9,1,1,2,0,0,1075,9,1,1,2,0
1091,20,3,4,1,0,1,0,0,0,1091,20,3,4,1,0,1,1091,20,3,4,1,0
1064,17,0,2,0,0,0,0,0,0,1064,17,0,2,0,0,0,1064,17,0,2,0,0
1082,18,1,1,2,2,1,0,0,0,1082,18,1,1,2,2,1,1082,18,1,1,2,0
1065,16,0,0,1,1,2,0,0,0,1065,16,0,0,1,1,2,1065,16,0,0,1,0
1082,31,3,0,0,2,0,1,0,0,1082,31,3,0,0,2,0,1082,31,3,0,0,0
1069,23,3,1,2,0,0,0,0,0,1069,23,3,1,2,0,0,1069,23,3,1,2,0
1101,29,3,0,1,1,1,0,0,0,1101,29,3,0,1,1,1,1101,29,3,0,1,0
1057,21,2,0,0,1,0,0,0,0,1057,21,2,0,0,1,0,1057,21,2,0,0,0
1106,18,4,3,0,0,0,0,0,0,1106,18,4,3,0,0,0,1106,18,4,3,0,0
1068,22,2,2,0,1,0,0,0,0,1068,22,2,2,0,1,0,1068,22,2,2,0,0
1103,22,2,0,0,0,2,0,0,0,1103,22,2,0,0,0,2,1103,22,2,0,0,0
1081,14,2,1,1,0,0,0,0,0,1081,14,2,1,1,0,0,1081,14,2,1,1,0
1063,14,1,3,2,0,0,0,0,0,1063,14,1,3,2,0,0,1063,14,1,3,2,0
1066,6,1,0,0,1,0,0,0,0,1066,6,1,0,0,1,0,1066,6,1,0,0,0
1078,8,1,3,0,0,1,0,0,0,1078,8,1,3,0,0,1,1078,8,1,3,0,0
1054,4,1,1,1,0,1,0,0,0,1054,4,1,1,1,0,1,1054,4,1,1,1,0
1071,8,2,1,0,0,0,0,0,0,1071,8,2,1,0,0,0,1071,8,2,1,0,0
1048,3,2,1,2,0,0,0,0,0,1048,3,2,1,2,0,0,1048,3,2,1,2,0
1069,5,3,1,0,0,2,0,0,0,1069,5,3,1,0,0,2,1069,5,3,1,0,0
1057,5,0,0,0,0,0,0,0,0,1057,5,0,0,0,0,0,1057,5,0,0,0,0
1049,22,9,9,2,1,1,0,3,1,1049,22,9,9,2,1,1,1049,22,9,9,2,0
1054,5,1,0,0,2,0,0,0,0,1054,5,1,0,0,2,0,1054,5,1,0,0,0
1068,14,2,2,0,2,0,0,0,0,1068,14,2,2,0,2,0,1068,14,2,2,0,0
1054,3,2,1,0,1,0,0,0,0,1054,3,2,1,0,1,0,1054,3,2,1,0,0
1089,9,3,0,0,0,0,0,0,0,1089,9,3,0,0,0,0,1089,9,3,0,0,0
1060,5,2,2,0,1,0,0,0,0,1060,5,2,2,0,1,0,1060,5,2,2,0,0
1067,6,1,1,2,0,1,0,0,0,1067,6,1,1,2,0,1,1067,6,1,1,2,0
1060,9,1,0,0,1,0,0,0,0,1060,9,1,0,0,1,0,1060,9,1,0,0,0
977,35,22,7,5,3,3,2,1,2,977,35,22,7,5,3,3,977,35,22,7,5,0
1044,9,1,0,1,1,0,0,0,0,1044,9,1,0,1,1,0,1044,9,1,0,1,0
1074,9,2,3,3,0,2,0,0,0,1074,9,2,3,3,0,2,1074,9,2,3,3,0
1042,8,0,2,1,1,1,0,0,0,1042,8,0,2,1,1,1,1042,8,0,2,1,0
1077,6,2,2,0,1,0,0,0,0,1077,6,2,2,0,1,0,1077,6,2,2,0,0
1050,6,2,1,0,0,0,0,0,0,1050,6,2,1,0,0,0,1050,6,2,1,0,0
1076,10,0,1,0,0,0,0,0,0,1076,10,0,1,0,0,0,1076,10,0,1,0,0
1055,3,1,3,1,0,0,0,0,0,1055,3,1,3,1,0,0,1055,3,1,3,1,0
1076,8,1,1,2,1,0,0,0,0,1076,8,1,1,2,1,0,1076,8,1,1,2,0
1072,2,1,1,1,2,0,0,0,0,1072,2,1,1,1,2,0,1072,2,1,1,1,0
1071,4,6,2,0,0,0,0,0,0,1071,4,6,2,0,0,0,1071,4,6,2,0,0
1052,6,4,0,1,0,0,0,0,0,1052,6,4,0,1,0,0,1052,6,4,0,1,0
1089,6,2,0,0,0,0,0,0,0,1089,6,2,0,0,0,0,1089,6,2,0,0,0
1060,5,0,1,1,0,1,0,0,0,1060,5,0,1,1,0,1,1060,5,0,1,1,0
1087,13,2,1,0,0,0,0,0,0,1087,13,2,1,0,0,0,1087,13,2,1,0,0
1065,3,0,0,0,1,1,0,0,0,1065,3,0,0,0,1,1,1065,3,0,0,0,0
1078,3,2,2,0,0,1,0,0,0,1078,3,2,2,0,0,1,1078,3,2,2,0,0
1054,13,0,1,0,0,0,0,0,0,1054,13,0,1,0,0,0,1054,13,0,1,0,0
1067,7,1,3,1,0,0,0,0,0,1067,7,1,3,1,0,0,1067,7,1,3,1,0
1043,11,0,1,0,2,0,0,0,0,1043,11,0,1,0,2,0,1043,11,0,1,0,0
1083,4,1,1,1,1,0,0,0,0,1083,4,1,1,1,1,0,1083,4,1,1,1,0
1060,5,1,1,1,1,0,0,0,0,1060,5,1,1,1,1,0,1060,5,1,1,1,0
1072,7,0,3,1,1,0,0,0,0,1072,7,0,3,1,1,0,1072,7,0,3,1,0
1045,10,2,2,0,2,0,0,0,0,1045,10,2,2,0,2,0,1045,10,2,2,0,0
1073,11,1,0,1,1,0,0,0,0,1073,11,1,0,1,1,0,1073,11,1,0,1,0
1043,12,3,2,1,1,0,0,0,0,1043,12,3,2,1,1,0,1043,12,3,2,1,0
1084,8,0,0,0,0,0,0,0,0,1084,8,0,0,0,0,0,1084,8,0,0,0,0
1046,10,3,1,1,0,0,0,0,0,1046,10,3,1,1,0,0,1046,10,3,1,1,0
1089,6,3,1,1,0,0,0,0,0,1089,6,3,1,1,0,0,1089,6,3,1,1,0
1066,10,1,0,0,0,0,0,0,0,1066,10,1,0,0,0,0,1066,10,1,0,0,0
1073,7,3,0,0,1,0,0,0,0,1073,7,3,0,0,1,0,1073,7,3,0,0,0
1051,4,0,0,0,0,0,0,0,0,1051,4,0,0,0,0,0,1051,4,0,0,0,0
1067,6,0,0,1,0,0,0,0,0,1067,6,0,0,1,0,0,1067,6,0,0,1,0
1051,6,3,3,2,0,0,0,0,0,1051,6,3,3,2,0,0,1051,6,3,3,2,0
1064,1,1,0,1,1,0,0,0,0,1064,1,1,0,1,1,0,1064,1,1,0,1,0
1042,5,2,0,0,0,0,0,0,0,1042,5,2,0,0,0,0,1042,5,2,0,0,0
1076,14,1,1,0,1,0,0,0,0,1076,14,1,1,0,1,0,1076,14,1,1,0,0
1053,2,0,0,0,0,0,0,0,0,1053,2,0,0,0,0,0,1053,2,0,0,0,0
1073,3,0,1,1,0,0,0,0,0,1073,3,0,1,1,0,0,1073,3,0,1,1,0
1048,11,4,2,0,0,0,0,0,0,1048,11,4,2,0,0,0,1048,11,4,2,0,0
1002,4,1,1,1,2,0,0,0,0,1002,4,1,1,1,2,0,1002,4,1,1,1,0
1003,6,2,3,0,0,0,0,0,0,1003,6,2,3,0,0,0,1003,6,2,3,0,0
1018,4,0,1,0,0,0,0,0,0,1018,4,0,1,0,0,0,1018,4,0,1,0,0
1007,3,1,2,0,0,0,0,0,0,1007,3,1,2,0,0,0,1007,3,1,2,0,0
1010,3,2,0,0,0,0,0,0,0,1010,3,2,0,0,0,0,1010,3,2,0,0,0
911,64,28,4,7,4,8,6,6,4,911,64,28,4,7,4,8,911,64,28,4,7,1
1010,4,0,0,1,0,0,0,0,0,1010,4,0,0,1,0,0,1010,4,0,0,1,0
978,26,12,2,3,2,0,0,1,0,978,26,12,2,3,2,0,978,26,12,2,3,1
770,214,91,40,24,9,5,6,6,3,770,214,91,40,24,9,5,770,214,91,40,24,1
847,186,65,7,7,3,2,0,0,1,847,186,65,7,7,3,2,847,186,65,7,7,1
833,154,74,35,10,9,4,4,1,2,833,154,74,35,10,9,4,833,154,74,35,10,1
456,281,116,83,69,31,24,27,21,14,456,281,116,83,69,31,24,456,281,116,83,69,1
830,139,66,36,20,7,7,6,5,3,830,139,66,36,20,7,7,830,139,66,36,20,1
887,131,46,10,6,2,0,1,1,0,887,131,46,10,6,2,0,887,131,46,10,6,1
737,240,72,39,15,9,10,3,5,2,737,240,72,39,15,9,10,737,240,72,39,15,1
469,242,125,83,52,30,27,32,20,16,469,242,125,83,52,30,27,469,242,125,83,52,1
822,173,71,31,12,4,0,4,4,4,822,173,71,31,12,4,0,822,173,71,31,12,1
901,149,34,14,3,4,1,0,0,1,901,149,34,14,3,4,1,901,149,34,14,3,1
685,287,108,40,23,12,2,7,4,2,685,287,108,40,23,12,2,685,287,108,40,23,1
452,294,132,69,50,30,28,14,27,27,452,294,132,69,50,30,28,452,294,132,69,50,1
763,215,78,48,20,5,8,5,2,4,763,215,78,48,20,5,8,763,215,78,48,20,1
853,164,58,20,5,0,0,2,2,0,853,164,58,20,5,0,0,853,164,58,20,5,1
665,241,129,58,29,21,14,4,7,3,665,241,129,58,29,21,14,665,241,129,58,29,1
391,233,148,81,71,40,33,33,32,25,391,233,148,81,71,40,33,391,233,148,81,71,1
833,167,50,33,17,4,6,3,2,1,833,167,50,33,17,4,6,833,167,50,33,17,1
977,53,20,9,0,1,1,2,0,0,977,53,20,9,0,1,1,977,53,20,9,0,1
903,85,37,14,13,13,5,3,4,4,903,85,37,14,13,13,5,903,85,37,14,13,1
839,137,55,21,12,11,2,4,1,1,839,137,55,21,12,11,2,839,137,55,21,12,1
771,188,68,33,28,12,9,15,3,7,771,188,68,33,28,12,9,771,188,68,33,28,1
905,90,47,21,7,4,4,1,1,0,905,90,47,21,7,4,4,905,90,47,21,7,1
625,213,125,70,44,30,21,13,12,7,625,213,125,70,44,30,21,625,213,125,70,44,1
369,260,163,100,77,51,28,31,17,34,369,260,163,100,77,51,28,369,260,163,100,77,1
813,159,71,38,16,11,6,4,3,1,813,159,71,38,16,11,6,813,159,71,38,16,1
876,119,37,16,8,5,0,3,1,1,876,119,37,16,8,5,0,876,119,37,16,8,1
710,206,124,60,32,12,13,3,4,2,710,206,124,60,32,12,13,710,206,124,60,32,1
315,172,172,102,71,39,40,33,31,29,315,172,172,102,71,39,40,315,172,172,102,71,1
770,176,68,58,23,7,4,3,0,0,770,176,68,58,23,7,4,770,176,68,58,23,1
840,225,50,19,3,1,1,1,0,0,840,225,50,19,3,1,1,840,225,50,19,3,1
530,227,120,78,66,24,24,25,15,11,530,227,120,78,66,24,24,530,227,120,78,66,1
321,226,130,100,70,32,37,36,32,31,321,226,130,100,70,32,37,321,226,130,100,70,1
810,186,91,38,19,10,7,0,4,3,810,186,91,38,19,10,7,810,186,91,38,19,1
899,109,42,17,6,3,3,2,0,0,899,109,42,17,6,3,3,899,109,42,17,6,1
709,251,89,29,18,9,4,4,4,2,709,251,89,29,18,9,4,709,251,89,29,18,1
383,248,151,88,62,40,37,25,25,21,383,248,151,88,62,40,37,383,248,151,88,62,1
763,165,89,32,32,16,8,9,8,6,763,165,89,32,32,16,8,763,165,89,32,32,1
891,129,36,21,8,7,1,1,0,1,891,129,36,21,8,7,1,891,129,36,21,8,1
638,263,106,69,33,21,7,13,6,2,638,263,106,69,33,21,7,638,263,106,69,33,1
359,252,181,99,64,34,38,37,28,21,359,252,181,99,64,34,38,359,252,181,99,64,1
754,212,91,41,32,14,6,8,11,7,754,212,91,41,32,14,6,754,212,91,41,32,1
856,175,52,9,9,3,0,1,0,0,856,175,52,9,9,3,0,856,175,52,9,9,1
723,248,97,48,17,17,6,3,8,1,723,248,97,48,17,17,6,723,248,97,48,17,1
360,223,141,85,68,46,43,33,26,22,360,223,141,85,68,46,43,360,223,141,85,68,1
771,199,94,34,34,9,5,6,4,2,771,199,94,34,34,9,5,771,199,94,34,34,1
916,93,24,10,5,1,1,2,1,0,916,93,24,10,5,1,1,916,93,24,10,5,1
964,67,27,14,5,3,1,0,2,0,964,67,27,14,5,3,1,964,67,27,14,5,1
994,14,4,4,0,1,1,0,1,0,994,14,4,4,0,1,1,994,14,4,4,0,1
1019,3,0,0,1,0,0,0,0,0,1019,3,0,0,1,0,0,1019,3,0,0,1,0
992,9,6,2,1,0,0,1,1,2,992,9,6,2,1,0,0,992,9,6,2,1,0
1025,1,1,0,0,0,1,0,0,0,1025,1,1,0,0,0,1,1025,1,1,0,0,0
869,139,55,21,9,2,3,0,0,0,869,139,55,21,9,2,3,869,139,55,21,9,1
929,114,34,16,5,2,3,2,3,0,929,114,34,16,5,2,3,929,114,34,16,5,1
530,316,162,72,46,19,17,5,11,4,530,316,162,72,46,19,17,530,316,162,72,46,1
476,220,165,84,44,42,24,17,21,23,476,220,165,84,44,42,24,476,220,165,84,44,1
799,185,69,31,26,9,10,5,7,1,799,185,69,31,26,9,10,799,185,69,31,26,1
829,149,53,53,23,8,4,2,6,7,829,149,53,53,23,8,4,829,149,53,53,23,1
352,259,154,98,73,40,41,19,18,22,352,259,154,98,73,40,41,352,259,154,98,73,1
487,231,147,83,41,38,23,12,13,16,487,231,147,83,41,38,23,487,231,147,83,41,1
763,223,73,27,10,12,5,3,2,1,763,223,73,27,10,12,5,763,223,73,27,10,1
836,173,65,36,14,9,5,5,4,2,836,173,65,36,14,9,5,836,173,65,36,14,1
537,298,149,56,32,19,14,12,11,10,537,298,149,56,32,19,14,537,298,149,56,32,1
486,193,120,77,43,37,30,29,24,28,486,193,120,77,43,37,30,486,193,120,77,43,1
895,124,49,12,5,3,3,0,0,0,895,124,49,12,5,3,3,895,124,49,12,5,1
840,152,68,33,24,11,8,7,2,0,840,152,68,33,24,11,8,840,152,68,33,24,1
745,200,85,37,16,18,10,8,6,2,745,200,85,37,16,18,10,745,200,85,37,16,1
470,187,139,83,69,32,36,22,15,21,470,187,139,83,69,32,36,470,187,139,83,69,1
765,220,78,31,17,9,6,4,4,0,765,220,78,31,17,9,6,765,220,78,31,17,1
798,195,71,39,23,8,9,10,2,2,798,195,71,39,23,8,9,798,195,71,39,23,1
801,178,70,29,18,7,7,4,4,1,801,178,70,29,18,7,7,801,178,70,29,18,1
546,219,131,78,37,26,27,18,15,19,546,219,131,78,37,26,27,546,219,131,78,37,1
921,74,29,15,9,4,5,2,1,1,921,74,29,15,9,4,5,921,74,29,15,9,1
902,85,52,24,16,6,4,3,4,6,902,85,52,24,16,6,4,902,85,52,24,16,1
888,114,45,23,13,3,3,5,2,4,888,114,45,23,13,3,3,888,114,45,23,13,1
620,226,104,51,40,23,17,23,9,12,620,226,104,51,40,23,17,620,226,104,51,40,1
722,229,97,42,26,14,8,9,2,5,722,229,97,42,26,14,8,722,229,97,42,26,1
853,152,45,25,21,9,5,2,4,4,853,152,45,25,21,9,5,853,152,45,25,21,1
765,263,87,18,7,3,3,1,0,1,765,263,87,18,7,3,3,765,263,87,18,7,1
499,239,139,93,48,35,24,29,18,13,499,239,139,93,48,35,24,499,239,139,93,48,1
749,225,96,35,17,7,2,4,2,2,749,225,96,35,17,7,2,749,225,96,35,17,1
833,205,47,33,6,4,2,1,2,2,833,205,47,33,6,4,2,833,205,47,33,6,1
415,177,147,74,57,32,31,21,35,27,415,177,147,74,57,32,31,415,177,147,74,57,1
494,199,128,92,54,24,35,30,22,23,494,199,128,92,54,24,35,494,199,128,92,54,1
791,201,74,28,17,3,6,3,4,2,791,201,74,28,17,3,6,791,201,74,28,17,1
899,144,35,16,2,3,0,3,0,0,899,144,35,16,2,3,0,899,144,35,16,2,1
784,190,68,21,21,9,5,2,1,4,784,190,68,21,21,9,5,784,190,68,21,21,1
526,173,127,83,52,22,28,21,26,21,526,173,127,83,52,22,28,526,173,127,83,52,1
763,215,62,34,23,7,7,2,3,0,763,215,62,34,23,7,7,763,215,62,34,23,1
753,230,80,42,26,14,12,5,5,1,753,230,80,42,26,14,12,753,230,80,42,26,1
538,237,121,75,61,38,17,24,19,11,538,237,121,75,61,38,17,538,237,121,75,61,1
473,229,120,93,47,28,26,29,28,18,473,229,120,93,47,28,26,473,229,120,93,47,1
762,193,92,40,15,12,7,5,7,4,762,193,92,40,15,12,7,762,193,92,40,15,1
1023,33,8,6,3,3,1,2,1,0,1023,33,8,6,3,3,1,1023,33,8,6,3,1
781,216,60,29,21,6,7,2,2,0,781,216,60,29,21,6,7,781,216,60,29,21,1
520,173,109,88,48,36,36,32,21,21,520,173,109,88,48,36,36,520,173,109,88,48,1
786,183,56,33,14,8,7,2,6,0,786,183,56,33,14,8,7,786,183,56,33,14,1
812,161,64,35,19,14,1,3,4,1,812,161,64,35,19,14,1,812,161,64,35,19,1
928,94,40,14,7,3,1,1,2,0,928,94,40,14,7,3,1,928,94,40,14,7,1
717,187,87,52,37,27,15,12,10,9,717,187,87,52,37,27,15,717,187,87,52,37,1
818,146,53,37,16,12,3,6,3,2,818,146,53,37,16,12,3,818,146,53,37,16,1
885,127,34,28,5,9,2,5,4,5,885,127,34,28,5,9,2,885,127,34,28,5,1
582,286,126,63,29,18,21,16,9,7,582,286,126,63,29,18,21,582,286,126,63,29,1
445,204,130,84,59,39,29,33,34,35,445,204,130,84,59,39,29,445,204,130,84,59,1
865,171,46,24,4,5,6,2,0,1,865,171,46,24,4,5,6,865,171,46,24,4,1
1007,20,2,0,0,2,0,1,1,1,1007,20,2,0,0,2,0,1007,20,2,0,0,0
1011,1,2,0,1,0,0,0,1,0,1011,1,2,0,1,0,0,1011,1,2,0,1,0
1017,29,5,2,5,1,0,0,1,0,1017,29,5,2,5,1,0,1017,29,5,2,5,1
912,96,22,21,12,5,3,2,2,2,912,96,22,21,12,5,3,912,96,22,21,12,1
894,88,46,18,22,3,9,7,4,3,894,88,46,18,22,3,9,894,88,46,18,22,1
609,226,89,42,33,23,24,19,13,11,609,226,89,42,33,23,24,609,226,89,42,33,1
678,235,101,59,33,23,14,7,10,9,678,235,101,59,33,23,14,678,235,101,59,33,1
872,180,38,14,7,3,2,0,2,0,872,180,38,14,7,3,2,872,180,38,14,7,1
815,168,79,28,20,12,4,1,5,1,815,168,79,28,20,12,4,815,168,79,28,20,1
726,203,67,46,19,12,9,13,7,4,726,203,67,46,19,12,9,726,203,67,46,19,1
686,260,92,43,31,21,13,9,7,4,686,260,92,43,31,21,13,686,260,92,43,31,1
788,157,80,29,15,13,9,9,6,2,788,157,80,29,15,13,9,788,157,80,29,15,1
948,69,31,19,14,10,3,3,1,0,948,69,31,19,14,10,3,948,69,31,19,14,1
765,209,62,30,21,13,6,7,5,2,765,209,62,30,21,13,6,765,209,62,30,21,1
623,264,111,62,41,28,24,15,10,12,623,264,111,62,41,28,24,623,264,111,62,41,1
926,102,43,12,5,0,1,2,0,0,926,102,43,12,5,0,1,926,102,43,12,5,1
844,137,65,42,23,14,8,9,4,10,844,137,65,42,23,14,8,844,137,65,42,23,1
926,124,34,14,5,1,0,0,0,0,926,124,34,14,5,1,0,926,124,34,14,5,1
730,222,91,54,19,23,19,12,10,6,730,222,91,54,19,23,19,730,222,91,54,19,1
1017,24,3,0,0,0,0,0,0,0,1017,24,3,0,0,0,0,1017,24,3,0,0,1
811,218,74,43,19,10,9,1,5,1,811,218,74,43,19,10,9,811,218,74,43,19,1
556,269,119,63,35,16,18,18,23,17,556,269,119,63,35,16,18,556,269,119,63,35,1
676,225,94,55,31,23,21,6,16,8,676,225,94,55,31,23,21,676,225,94,55,31,1
944,92,24,8,8,0,0,0,0,0,944,92,24,8,8,0,0,944,92,24,8,8,1
783,211,76,36,27,11,6,9,6,2,783,211,76,36,27,11,6,783,211,76,36,27,1
389,260,141,91,58,43,34,26,21,34,389,260,141,91,58,43,34,389,260,141,91,58,1
755,194,80,43,23,18,15,12,5,4,755,194,80,43,23,18,15,755,194,80,43,23,1
933,121,39,9,3,0,1,0,0,0,933,121,39,9,3,0,1,933,121,39,9,3,1
766,189,94,41,30,15,14,5,5,4,766,189,94,41,30,15,14,766,189,94,41,30,1
516,299,166,64,44,33,25,14,16,2,516,299,166,64,44,33,25,516,299,166,64,44,1
705,214,110,61,37,13,11,10,7,6,705,214,110,61,37,13,11,705,214,110,61,37,1
995,36,7,2,1,1,0,0,0,0,995,36,7,2,1,1,0,995,36,7,2,1,1
933,146,47,19,9,3,5,2,3,1,933,146,47,19,9,3,5,933,146,47,19,9,1
449,218,131,71,46,40,44,30,17,30,449,218,131,71,46,40,44,449,218,131,71,46,1
669,242,107,60,34,21,16,11,8,5,669,242,107,60,34,21,16,669,242,107,60,34,1
893,141,43,21,5,1,1,0,0,0,893,141,43,21,5,1,1,893,141,43,21,5,1
769,161,80,43,28,19,9,2,6,5,769,161,80,43,28,19,9,769,161,80,43,28,1
550,286,120,72,34,18,23,18,16,9,550,286,120,72,34,18,23,550,286,120,72,34,1
621,241,126,69,37,25,16,18,9,10,621,241,126,69,37,25,16,621,241,126,69,37,1
988,47,9,1,3,3,1,0,0,0,988,47,9,1,3,3,1,988,47,9,1,3,1
738,211,98,43,26,20,10,6,4,1,738,211,98,43,26,20,10,738,211,98,43,26,1
588,310,103,52,26,20,12,13,5,5,588,310,103,52,26,20,12,588,310,103,52,26,1
718,198,95,65,33,19,16,13,8,6,718,198,95,65,33,19,16,718,198,95,65,33,1
944,96,20,7,3,4,0,0,1,0,944,96,20,7,3,4,0,944,96,20,7,3,1
621,254,118,66,41,22,15,15,9,5,621,254,118,66,41,22,15,621,254,118,66,41,1
335,212,166,94,65,52,32,39,21,29,335,212,166,94,65,52,32,335,212,166,94,65,1
657,237,117,54,28,22,10,10,13,6,657,237,117,54,28,22,10,657,237,117,54,28,1
940,78,19,10,6,3,1,0,1,0,940,78,19,10,6,3,1,940,78,19,10,6,1
662,251,104,49,36,22,15,7,2,5,662,251,104,49,36,22,15,662,251,104,49,36,1
313,222,136,105,80,43,24,32,34,32,313,222,136,105,80,43,24,313,222,136,105,80,1
781,168,68,50,18,10,11,9,8,6,781,168,68,50,18,10,11,781,168,68,50,18,1
959,61,16,12,3,1,0,0,0,0,959,61,16,12,3,1,0,959,61,16,12,3,1
847,138,56,34,13,12,3,5,4,1,847,138,56,34,13,12,3,847,138,56,34,13,1
751,181,79,30,20,13,16,15,10,6,751,181,79,30,20,13,16,751,181,79,30,20,1
650,234,114,56,40,20,14,13,14,11,650,234,114,56,40,20,14,650,234,114,56,40,1
952,87,29,10,5,2,0,1,0,0,952,87,29,10,5,2,0,952,87,29,10,5,1
995,11,10,6,2,3,2,0,1,2,995,11,10,6,2,3,2,995,11,10,6,2,1
1016,2,0,1,1,0,0,0,0,0,1016,2,0,1,1,0,0,1016,2,0,1,1,0
1013,3,1,0,0,0,0,0,0,0,1013,3,1,0,0,0,0,1013,3,1,0,0,0
872,154,54,22,7,5,4,2,3,1,872,154,54,22,7,5,4,872,154,54,22,7,1
364,228,160,98,48,41,46,31,30,25,364,228,160,98,48,41,46,364,228,160,98,48,1
718,192,95,46,40,17,12,8,13,6,718,192,95,46,40,17,12,718,192,95,46,40,1
1038,34,4,3,1,0,0,0,0,0,1038,34,4,3,1,0,0,1038,34,4,3,1,1
995,50,19,6,4,1,2,0,0,0,995,50,19,6,4,1,2,995,50,19,6,4,1
1013,3,1,0,0,0,0,0,0,0,1013,3,1,0,0,0,0,1013,3,1,0,0,0
851,157,57,34,12,4,5,5,2,2,851,157,57,34,12,4,5,851,157,57,34,12,1
950,96,22,9,0,0,1,0,0,0,950,96,22,9,0,0,1,950,96,22,9,0,1
792,207,70,34,23,10,6,8,2,7,792,207,70,34,23,10,6,792,207,70,34,23,1
602,309,115,55,33,17,10,8,5,3,602,309,115,55,33,17,10,602,309,115,55,33,1
